Data_ID,DL_ID,PreAmp,CPU_Ver,Latitude,Longitude,Depth_m,Deploy_Date,Recovery_Date,Status,Sample_Rate,Cycle_Int,Duty_Dur,Prob_Set,Data_Start_Date,Data_Start_Time,Data_End_Date,Data_End_Time,Rec_Dur
Aleut01-KS,47-100602,600,2.02Q,52-19.007 N,178-31.240 E,1092,2010-06-02,2010-08-26,R,200,0,0,0,2010-06-03,00:00:00,2010-07-20,11:15:00,48
Aleut02-BD,47-100826,600,2.02Q_B,52-38.000 N,175-37.990 E,783,2010-08-26,2011-05-29,R,200,0,0,0,2010-08-27,00:00:00,2011-05-26,08:05:00,273
Aleut03-BD,47-110530,600,2.02S,52-04.560 N,175-38.390 E,777,2011-05-30,2012-08-18,R,200,10,5,0,2011-05-31,00:00:00,2012-08-26,19:51:15,454
Antarc01-EI,05-140219,725,2.02S,60-53.214 S,55-57.238 W,762,2014-02-16,2015-01-30,R,200,6,5,1,2014-03-05,00:00:00,2014-07-14,12:03:50,134.5
Antarc_EA_01,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2019-02-02,20:00:00,2019-02-18,10:46:15,15.6
Antarc_EIE_01,106-160203,729,2.84,61-15.112 S,53-29.006 W,1033,2016-02-03,2017-01-23,R,200,0,0,0,2016-02-03,23:59:59,2016-12-02,05:15:05,302.2
Antarc_SSI_01,05-150209,725,2.02S,61-27.469 S,57-56.515 W,768,2015-02-09,2016-01-29,R,200,13.33333333,10,1,2015-02-10,00:00:00,2016-01-29,13:15:25,353.6
ARCTIC01-A,06-060925,324,1.17,72-10.569 N,156-33.176 W,230,2006-09-26,2007-08-17,R,32,0,0,1,2006-09-26,12:00:00,2007-01-31,06:34:41,128
ARCTIC01-B,07-060925,325,1.17,72-27.523 N,157-23.364 W,246,2006-09-25,2007-08-17,R,32,0,0,1,2006-09-26,00:00:00,2007-05-31,14:02:30,248
ARCTIC02-B,07-070915,325,1.17,72-27.626 N,157-23.932 W,235,2007-09-15,2008-08-14,R,32,14,7,1,2007-09-16,00:00:00,2008-06-27,21:11:28,286
ARCTIC02-C,06-070914,409,1.17,72-47.908 N,158-23.880 W,328,2007-09-14,2008-08-14,R,32,14,7,1,2007-09-16,00:00:00,2008-04-01,15:43:28,199
ARCTIC03-B,07-080904,410,1.17,72-27.645 N,157-23.947 W,234,2008-09-05,2009-08-17,R,32,14,7,0,2008-09-06,00:00:00,2009-06-07,17:33:00,274
ARCTIC03-C,06-080905,474,1.17,72-47.926 N,158-23.913 W,327,2008-09-05,2009-08-07,R,32,14,7,0,2008-09-06,00:00:00,2009-03-14,02:47:28,189
ARCTIC04-A2,11-090914,493,1.17B,72-06.899 N,155-44.051 W,250,2009-09-14,NULL,S,32,0,0,0,2010-09-15,00:00:00,NULL,NULL,NULL
ARCTIC04-B,07-090914,563,1.17,72-27.670 N,157-23.987 W,235,2009-09-14,2010-09-10,R,32,0,0,1,2009-09-14,18:00:00,2010-07-29,17:54:03,318
ARCTIC04-C,06-090914,562,1.17,72-47.941 N,158-23.937 W,337,2009-09-14,2010-09-11,R,32,0,0,1,2009-09-14,16:00:00,2010-08-19,19:27:11,339
ARCTIC05-B,07-100911,563,1.17,72-27.650 N,157-23.770 W,274,2010-09-11,2011-10-08,S,32,0,0,0,2010-09-11,23:59:59,NULL,NULL,NULL
ARCTIC05-C,06-100923,562,1.17,72-47.939 N,158-23.941 W,343,2010-09-23,2011-10-08,R,32,0,0,0,2010-09-22,18:00:00,2011-08-27,21:11:33,339
ARCTIC06-C,06-111009,655,2.02S,72-47.400 N,158-23.940 W,340,2011-10-09,2012-10-09,S,200,15,10,0,2011-10-09,00:00:00,NULL,NULL,NULL
ARCTIC07-C2,54-121012,681,2.02S,72-48.008 N,158-24.756 W,321,2012-10-12,2013-10-13,R,200,15,10,0,2012-10-12,12:00:00,2013-08-06,08:36:15,298
ARCTIC07-D,37-121011,684,2.02S,72-36.909 N,158-42.151 W,100,2012-10-11,2013-10-13,R,200,15,10,0,2012-10-12,01:00:00,2013-10-14,02:01:34,367
