Data_ID,DL_ID,PreAmp,CPU_Ver,Latitude,Longitude,Depth_m,Deploy_Date,Recovery_Date,Status
ADRIA_JD_01,125-181019,742,2.87,42-20.651 N,17-49.235 E,1070,10/19/2018,6/4/2019,R
Aleut01-KS,47-100602,600,2.02Q,52-19.007 N,178-31.240 E,1092,6/2/2010,8/26/2010,R
Aleut02-BD,47-100826,600,2.02Q_B,52-38.000 N,175-37.990 E,783,8/26/2010,5/29/2011,R
Aleut03-BD,47-110530,600,2.02S,52-04.560 N,175-38.390 E,777,5/30/2011,8/18/2012,R
Antarc01-EI,05-140219,725,2.02S,60-53.214 S,55-57.238 W,762,2/16/2014,1/30/2015,R
Antarc_EA_01,132-190202,700,2.87,65-50.54 S,144-26.7 E,2217,2/2/2019,2/20/2019,R
Antarc_EIE_01,106-160203,729,2.84,61-15.112 S,53-29.006 W,1033,2/3/2016,1/23/2017,R
Antarc_SSI_01,05-150209,725,2.02S,61-27.469 S,57-56.515 W,768,2/9/2015,1/29/2016,R
ARCTIC01-A,06-060925,324,1.17,72-10.569 N,156-33.176 W,230,9/26/2006,8/17/2007,R
ARCTIC01-B,07-060925,325,1.17,72-27.523 N,157-23.364 W,246,9/25/2006,8/17/2007,R
ARCTIC02-B,07-070915,325,1.17,72-27.626 N,157-23.932 W,235,9/15/2007,8/14/2008,R
ARCTIC02-C,06-070914,409,1.17,72-47.908 N,158-23.880 W,328,9/14/2007,8/14/2008,R
ARCTIC03-B,07-080904,410,1.17,72-27.645 N,157-23.947 W,234,9/5/2008,8/17/2009,R
ARCTIC03-C,06-080905,474,1.17,72-47.926 N,158-23.913 W,327,9/5/2008,8/7/2009,R
ARCTIC04-A2,11-090914,493,1.17B,72-06.899 N,155-44.051 W,250,9/14/2009,NULL,S
ARCTIC04-B,07-090914,563,1.17,72-27.670 N,157-23.987 W,235,9/14/2009,9/10/2010,R
ARCTIC04-C,06-090914,562,1.17,72-47.941 N,158-23.937 W,337,9/14/2009,9/11/2010,R
ARCTIC05-B,07-100911,563,1.17,72-27.650 N,157-23.770 W,274,9/11/2010,10/8/2011,S
ARCTIC05-C,06-100923,562,1.17,72-47.939 N,158-23.941 W,343,9/23/2010,10/8/2011,R
ARCTIC06-C,06-111009,655,2.02S,72-47.400 N,158-23.940 W,340,10/9/2011,10/9/2012,S
ARCTIC07-C2,54-121012,681,2.02S,72-48.008 N,158-24.756 W,321,10/12/2012,10/13/2013,R
ARCTIC07-D,37-121011,684,2.02S,72-36.909 N,158-42.151 W,100,10/11/2012,10/13/2013,R
ARCTIC08-C2,37-131015,681,2.02S,72-48.010 N,158-24.760 W,322,10/15/2013,7/21/2014,R
ARCTIC09-C2,25-140721,720,2.02S,72-47.976 N,158-24.626 W,323,7/21/2014,7/25/2015,R
ARCTIC_C2_10,47-150727,728,2.02U,72-48.154 N,158-25.384 W,323,7/26/2015,10/28/2016,R
ARCTIC_C2_11,109-160909,780,2.85,72-48.098 N,158-25.061 W,227,9/9/2016,7/23/2017,R
ARCTIC_C2_12,109-170723,780,NULL,72-48.043 N,158-27.967 W,332,7/23/2017,NULL,R
ARCTIC_D_10,25-150818,735,2.02S,72-36.925 N,158-42.177 W,98,8/18/2015,10/28/2016,R
Baja_GI_01,121-181118,860,2.87,29-08.462 N,118-15.658 W,1113,11/18/2018,10/22/2019,R
BENIO_A_01,138-171005,802,2.87,34-16.515 N,129-35.530 W,NULL,10/5/2017,NULL,R
BENIO_B_01,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,R
BERING01-M2,NULL,NULL,NULL,56-51.620 N,164-03.520 W,70,4/1/2004,9/1/2004,R
BERING02-M2,NULL,NULL,NULL,56-51.620 N,164-03.520 W,70,9/1/2004,4/1/2005,R
BERING02-M4,NULL,NULL,NULL,57-51.649 N,167-52.624 W,71,9/1/2004,4/1/2005,R
BERING03-M2,14-050423,101,NULL,56-51.620 N,164-03.520 W,72,4/23/2005,?,R
BERING04-M2,06-050923,117,NULL,56-51.672 N,164-03.534 W,70,9/23/2005,?,R
BERING04-M4,14-050925,101,NULL,57-21.648 N,168-52.624 W,71,9/25/2005,?,R
BM01A,29-130610,709,2.02S,31-55.575 N,65-12.900 W,713,6/10/2013,3/11/2014,R
BM02A,29-140312,734,2.02S,31-55.415 N,65-12.113 W,732,3/12/2014,12/12/2014,R
BMA03,29-141213,723,2.02U,31-55.415 N,65-12.113 W,732,12/16/2014,7/1/2016,R
BRINS01,NULL,NULL,NULL,57-55.360 N,01-37.862 E,104,NULL,NULL,R
BRINS02,NULL,NULL,NULL,57-55.360 N,01-37.862 E,104,9/9/2011,2/5/2012,R
CANARC_BS_01,79-130914,715,2.02S,74-20.447 N,94-32.251 W,620,9/14/2013,8/31/2014,R
CANARC_BS_02,79-140909,738,2.02U,74-20.719 N,94-42.209 W,593,9/9/2014,8/28/2015,R
CANARC_BS_03,109-150912,694,2.84,74-20.722 N,94-40.372 W,590,9/12/2015,8/30/2017,R
CANARC_BS_04,NULL,694,NULL,74-25-146 N,94-42.316 W,554,9/3/2017,NULL,R
CANARC_LI_01,105-180928,720,NULL,72-15.260 N,80-34.205 W,313,9/27/2017,NULL,R
CANARC_PI_01,105-160528,720,2.84,72-43.460 N,76-13.990 W,800,5/28/2016,10/5/2016,R
CANARC_PI_02,105-161005,720,2.85,72-43.498 N,76-13.850 W,670,10/5/2015,8/13/2017,R
CANARC_PI_03,105-170814,720,NULL,72-43.490 N,76-13.790 W,670,8/14/2017,9/27/2018,R
CANARC_PI_04,102-180927,818,NULL,72-43.730 N,76-13.519 W,670,9/27/2018,9/21/2019,R
CCE1_SB_01,107-161008,818,2.85,33-28.970 N,122-34.560 W,812,10/8/2016,11/3/2017,R
CINMS01-B,13-080214,427,1.17,34-16.520 N,120-01.505 W,580,2/14/2008,4/16/2008,R
CINMS01-C,25-080212,429,1.17B,34-19.123 N,120-47.954 W,749,2/12/2008,4/17/2008,R
CINMS02-B,02-080416,451,1.17B,34-16.584 N,120-01.512 W,610,4/16/2008,6/6/2008,R
CINMS02-C,25-080417,452,1.17B,34-19.074 N,120-48.212 W,750,4/17/2008,7/23/2008,R
CINMS03-B,21-080722,472,1.17B,34-16.621 N,120-01.661 W,580,7/22/2008,10/13/2008,R
CINMS03-C,13-080723,478,1.17B,34-19.094 N,120-48.282 W,750,7/23/2008,10/14/2008,R
CINMS03-J,25-080724,471,1.17B,34-08.405 N,119-59.316 W,238,7/24/2008,10/14/2008,R
CINMS03-K,02-080724,413,1.17B,33-50.207 N,120-07.270 W,305,7/24/2008,10/14/2008,R
CINMS04-B,25-081015,471,1.17B,34-16.617 N,120-01.492 W,576,10/15/2008,12/2/2008,R
CINMS04-C,21-081014,472,1.17B,34-19.110 N,120-48.333 W,700,10/14/2008,12/3/2008,R
CINMS04-J,13-081015,478,1.17B,34-08.489 N,119-59.424 W,400,10/15/2008,11/25/2008,R
CINMS04-K,02-081015,413,1.17B,33-50.200 N,120-07.275 W,300,10/15/2008,12/2/2008,R
CINMS05-B,21-081204,472,1.17B,34-16.528 N,120-01.132 W,580,12/4/2008,3/12/2009,R
CINMS05-C,02-081203,413,1.17B,34-18.902 N,120-48.370 W,700,12/3/2008,3/11/2009,R
CINMS05-K2,25-081203,471,1.17B,33-59.956 N,120-32.431 W,556,12/3/2008,3/10/2009,R
CINMS06-B,25-090512,412,1.17B,34-16.667 N,120-01.613 W,580,5/12/2009,7/29/2009,R
CINMS07-J,26-090528,499,2.01X,34-08.365 N,119-59.346 W,250,5/28/2009,7/30/2009,R
CINMS07-K3,30-090528,498,2.01X,33-54.722 N,119-33.793 W,1000,5/29/2009,7/29/2009,R
CINMS08-B,25-090512,412,1.17B,34-16.634 N,120-01.506 W,580,7/30/2009,9/1/2009,R
CINMS08-J,26-090528,499,2.01,34-08.403 N,119-59.086 W,250,7/31/2009,9/1/2009,R
CINMS08-K3,30-090528,498,2.01,33-54.776 N,119-33.810 W,1000,7/31/2009,9/1/2009,R
CINMS09-B,25-090902,412,1.17B,34-16.732 N,120-01.664 W,580,9/2/2009,11/2/2009,R
CINMS09-C,30-090902,498,2.01,34-18.906 N,120-48.385 W,799,9/2/2009,11/3/2009,R
CINMS09-J,26-090902,499,2.01,34-08.381 N,119-59.507 W,242,9/2/2009,11/2/2009,R
CINMS10-B,30-091103,580,2.01A,34-16.720 N,120-01.614 W,580,11/3/2009,3/1/2010,R
CINMS10-C,25-091103,581,2.01A,34-19.108 N,120-48.465 W,780,11/3/2009,3/1/2010,R
CINMS12-B,30-100302,580,2.02Q,34-16.704 N,120-01.620 W,581,3/2/2010,6/23/2010,R
CINMS12-C,25-100302,581,2.02Q,34-19.097 N,120-48.445 W,801,3/2/2010,6/24/2010,R
